Ticker,ShortName,Sector,Region,Country,AverageRating
RSA-InsPLC,Royal & Sun Alliance Ins PLC,Financials,Europe,United Kingdom,Lower Medium Grade
RSAIG,RSA Ins GROUP PLC,Financials,Europe,United Kingdom,Extremely Speculative
RXLDEV,REXEL Dev SAS,Industrials,Europe,France,Lower Medium Grade
SANPAO,Intesa Sanpaolo SpA,Financials,Europe,Italy,Lower Medium Grade
SANTNDR,Bco SANTANDER SA,Financials,Europe,Spain,Upper Medium Grade
SANUK,SANTANDER UK PLC,Financials,Europe,United Kingdom,Upper Medium Grade
SAPSJ-SGM,Sappi Papier Hldg GmBH,Basic Materials,Europe,Austria,Non-Investment Grade
SBRY,J Sainsbury PLC,Consumer Services,Europe,United Kingdom,Lower Medium Grade
SCACAP,Svenska Cellulosa AB SCA,Consumer Goods,Europe,Sweden,Extremely Speculative
SCANIA,SCANIA AB,Industrials,Europe,Sweden,Highly Speculative
SCMNVX,Swisscom AG,Telecommunications,Europe,Switzerland,Upper Medium Grade
SCORS,SCOR SE,Financials,Europe,France,Upper Medium Grade
SCOTPO-Ukplc,Scottish Pwr UK PLC,Utilities,Europe,United Kingdom,Lower Medium Grade
SEB,Skandinaviska Enskilda Banken AB,Financials,Europe,Sweden,Upper Medium Grade
SECURI,Securitas AB,Industrials,Europe,Sweden,Lower Medium Grade
SESG,SES,Telecommunications,Europe,Luxembourg,Lower Medium Grade
SGCLN,Stagecoach Gp Plc,Consumer Services,Europe,United Kingdom,Lower Medium Grade
SGRO,SEGRO PLC,Financials,Europe,United Kingdom,Lower Medium Grade
SICILY,Region Sicily,Government,Europe,Italy,Lower Medium Grade
SIEM,Siemens AG,Industrials,Europe,Germany,Extremely Speculative
SKF,AB SKF,Industrials,Europe,Sweden,Lower Medium Grade
SLTRW-Kelda,KELDA GROUP Ltd,Utilities,Europe,United Kingdom,Extremely Speculative
SMIN,Smiths Gp Plc,Industrials,Europe,United Kingdom,Lower Medium Grade
SOCGEN,Societe Generale,Financials,Europe,France,Upper Medium Grade
SOLL,Soc Of Lloyd S,Financials,Europe,United Kingdom,Lower Medium Grade
SOLVAY,Solvay SA,Basic Materials,Europe,Belgium,Lower Medium Grade
SPAIN,Kdom Spain,Government,Europe,Spain,Lower Medium Grade
STAN,STANDARD CHARTERED PLC,Financials,Europe,United Kingdom,Upper Medium Grade
STAN-Bank,Std Chartered Bk,Financials,Europe,United Kingdom,Upper Medium Grade
STB,Storebrand ASA,Financials,Europe,Norway,Lower Medium Grade
STENA,Stena Aktiebolag,Industrials,Europe,Sweden,Lower Medium Grade
STGOBN,Cie de St Gobain,Industrials,Europe,France,Lower Medium Grade
STLIFE-LifeAss,STANDARD LIFE Assurn Ltd,Financials,Europe,United Kingdom,Lower Medium Grade
STM,Stmicroelectronics N V,Technology,Europe,Netherlands,High Grade
STORA,Stora Enso CORP,Basic Materials,Europe,Finland,Lower Medium Grade
