Ticker,Intersection Variance,Intersection Community Variance,CSRA Variance,CSRA Community Variance
MUNRE,0.25073681842458523,0.3715819093922601,0.18164630592881684,0.18800353514147888
NDB,0.0284668685621376,0.03488069227220245,0.03941951104327749,0.026347351793140534
NESTLE,0.5331733614351379,0.5331733614351379,0.16513346071984794,1.5146706869810451
NGGPLC,0.09961262501466361,0.1331283414452969,0.031025200859216315,0.04751476119661438
NGP,0.09748578590922831,0.08704091263420174,0.03281049430447102,0.026024371020091877
NGP-NGET,0.0569114048149467,0.13620105518280587,0.033144707325782424,0.05023131768505538
NIBBNK,0.05236546164142028,0.060006607651393935,0.01798983384974219,0.027156517170461563
NIECO,0.36441855879993057,1.460517804971458,0.15134996500928,0.23959077316897462
NIPSHG-PILKING,1.9139323961282597,2.2917847257002713,0.859422574634982,1.0055210997565995
NOVART,0.032788467127680576,0.032788467127680576,0.24470011410979262,0.46542067888167177
NXT,0.317373187621703,0.13632331251259538,0.13808732500516563,0.10147856198313607
PAUTO,0.15108969823475246,0.14890940675655195,0.06075164153681641,0.057162671535528356
PERNOD,0.4798739358616281,0.5484333773292971,0.05447702045555375,0.042961212613128054
PEUGOT,0.024061007414986374,0.023215562598848008,0.00757055802783495,0.006076251473975398
PEUGOT-BanqPsa,0.03143193287831892,0.017954444582636783,0.015809222179135007,0.021349997551671877
PIRELN,0.05534812783515051,0.018746519477725796,0.045367363198636275,0.01683866969311558
PRUFIN,0.03223648503850248,0.023255369031838547,0.03792360279759982,0.022035109972599585
PSON,0.36010673521300846,0.25069878373194365,0.13911918942114054,0.1134175760485962
PUBFP,0.20574411474086757,0.1626966423522947,0.21306746592865589,0.1957894534434881
RAGAG-EVODEG,1.8669104469652673,0.30771382892255583,0.5625622455307371,0.4635712672788744
RBOSCH,0.28119377535868223,0.10454656983401495,0.05659226825066502,0.030128087769610058
RDMB,0.23047158470515997,0.6081815799628989,0.08018535176999582,0.12185097167132088
RDNA-ShellPet,0.563408515445608,2.0804059326415905,0.2420403212066922,0.43028664571551994
RDNA-ShellPetLt,0.5350596417301513,0.6996751841713356,0.3350406522312533,0.5279249405101879
RDSPLC,0.5640623490698617,0.20464478323264118,0.35312196593835227,0.21092047391950228
RECSA,0.012972200016370651,0.012972200016370651,0.04641908580309199,0.02711123578778357
RENAUL,0.014650756078934611,0.02796396757592705,0.02032928153998471,0.015066653657613427
RENAUL-RCIBanq,0.014742192669200092,0.0063660812393760155,0.020457765679319208,0.03596439136143521
RENTPL,0.17782228930190233,0.18368019258212237,0.13523283918320878,0.17552814396838504
RHEINM-Rheinmet,0.05371189213388381,0.01676158298649652,0.010649592771321464,0.006371601817008874
RIOLN,0.1614215308402215,0.20371079480629964,0.0949694662334747,0.14431687099479876
RNK,0.015939761480378293,0.016416279448922308,0.009890681350832294,0.011791659987780381
RNTKIL,0.2389689842492922,0.31054135142826894,0.17616881135866955,0.1449611971932355
ROLLS,0.2024141116943017,0.10480231186181345,0.08969227000248295,0.06942605842280464
ROSW,0.00996864070915404,0.00996864070915404,0.06259559254867117,0.1280816548776046
RSA-InsPLC,0.08508938876457492,0.08508938876457492,0.10340437189044745,0.11286502832151417
RSAIG,0.24049042635130946,0.24049042635130946,0.10894845327035017,0.11914842666131326
RXLDEV,0.08232039376093625,0.1425324164835262,0.09972550127924817,0.09871633395413622
SANPAO,0.04903314334486118,0.0182383366539184,0.021596620131783744,0.021274719897196127
SANTNDR,0.018916223590994378,0.018916223590994378,0.20610852398143162,0.026289687765955666
SANUK,0.06940054434698324,0.07590013735720409,0.08152843622741097,0.08163473420310587
SAPSJ-SGM,0.031998615092419705,0.07527102613784385,0.020923544661969887,0.025151718951713274
SBRY,0.08896531472929459,0.07040666607923225,0.03605121598920747,0.028148453669134283
SCACAP,0.03247951172505434,0.02245491703680956,0.014608663355529466,0.011478154092005087
SCANIA,0.14114781803400397,0.14114781803400397,0.192790956542691,0.1801460171701329
