Ticker,ShortName,Sector,Region,Country,AverageRating
PUBFP,Publicis Groupe SA,Cyclical,Europe,France,9
RAGAG-EVODEG,Evonik Degussa GmbH,Cyclical,Europe,Germany,10
RBOSCH,Robert Bosch GmBH,Non Cyclical,Europe,Germany,10
RDMB,Rodamco Europe NV,Financials,Europe,Netherlands,10
RDNA-ShellPet,SHELL Pete N V,Cyclical,Europe,Netherlands,10
RDNA-ShellPetLt,Shell Pete Co Ltd,Cyclical,Europe,United Kingdom,10
RDSPLC,ROYAL DUTCH SHELL PLC,Cyclical,Europe,United Kingdom,10
RECSA,Red Electrica Corporacion S A,Non Cyclical,Europe,Spain,10
RENAUL,Renault,Non Cyclical,Europe,France,11
RENAUL-RCIBanq,RCI Bqe,Non Cyclical,Europe,France,10
RENTPL,Rentokil Initial 1927 Plc,Cyclical,Europe,United Kingdom,10
RHEINM-Rheinmet,Rheinmetall AG,Non Cyclical,Europe,Germany,10
RIOLN,Rio Tinto plc,Cyclical,Europe,United Kingdom,10
RNK,Rank Gp PLC,Cyclical,Europe,United Kingdom,10
RNTKIL,RENTOKIL INITIAL PLC,Cyclical,Europe,United Kingdom,9
ROLLS,Rolls Royce plc,Cyclical,Europe,United Kingdom,10
ROSW,Roche Hldg Ltd,Non Cyclical,Europe,Switzerland,10
RSA-InsPLC,Royal & Sun Alliance Ins PLC,Financials,Europe,United Kingdom,10
RSAIG,RSA Ins GROUP PLC,Financials,Europe,United Kingdom,17
RXLDEV,REXEL Dev SAS,Cyclical,Europe,France,10
SANPAO,Intesa Sanpaolo SpA,Financials,Europe,Italy,9
SANTNDR,Bco SANTANDER SA,Financials,Europe,Spain,7
SANUK,SANTANDER UK PLC,Financials,Europe,United Kingdom,7
SAPSJ-SGM,Sappi Papier Hldg GmBH,Cyclical,Europe,Austria,12
SBRY,J Sainsbury PLC,Cyclical,Europe,United Kingdom,10
SCACAP,Svenska Cellulosa AB SCA,Non Cyclical,Europe,Sweden,17
SCANIA,SCANIA AB,Cyclical,Europe,Sweden,14
SCMNVX,Swisscom AG,Cyclical,Europe,Switzerland,6
SCORS,SCOR SE,Financials,Europe,France,5
